wl [nm],fluo [1/mWms],raman [1/mWms]
826.0505744053389,1.1505118161905943,0.0011394653250596234
826.1922010870653,1.1486647129475458,0.00024325212770530085
826.3337842774652,1.1468181932696286,0.005771720171430039
826.4753239765391,1.1449723923236428,0.00024325212770530085
826.6168201842868,1.1431274435614418,0.008738985419439745
826.7582729007083,1.141283478729934,0.00024325212770530085
826.8996821258032,1.1394406278810574,0.00024325212770530085
827.0410478595721,1.1375990193817322,0.00024325212770530085
827.1823701020147,1.1357587799237885,0.00024325212770530085
827.3236488531312,1.1339200345338678,0.0009429396732949289
827.4648841129215,1.132082906583303,0.00024325212770530085
827.6060758813853,1.130247517797972,0.00024325212770530085
827.7472241585233,1.1284139882681286,0.00024325212770530085
827.8883289443347,1.1265824364582069,0.002659032185741755
828.0293902388199,1.1247529792166036,0.000809900863988682
